Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,0,Composed: Flip,602.5856,NA,51.73390000000001,NA,0.31590000000000,0.31750000000000,3.4441,551.4381,51.4634,51.1475,0.3159,49.0905,2.3745,0.6936,1.6809,NA,551.4381,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,0,Composed: Flip,603.5769,NA,0.99130000000000,2.76840000000000,2.40110000000000,2.66100000000000,5.2212,602.9015,3.0765,0.6754,2.4011,0.5597,2.7767,2.7663,0.0104,48.6950,602.9015,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,606.2855,NA,2.70860000000000,2.80000000000000,2.85580000000000,2.92140000000000,5.3126,605.9780,3.1633,0.3075,2.8558,0.2609,2.9680,2.8629,0.1051,0.2765,605.9780,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,609.5140,NA,3.22850000000000,0.90890000000000,2.77790000000000,2.93230000000000,2.9930,609.1413,3.1506,0.3727,2.7779,0.0656,3.2394,0.4640,2.7754,2.2544,609.1413,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,612.5459,NA,3.03190000000000,13.29910000000000,2.92700000000000,2.98180000000000,13.2602,612.2919,3.1810,0.2540,2.9270,0.1544,3.0814,0.4034,2.6780,-10.1485,612.2919,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,615.6722,NA,3.12630000000000,0.56890000000000,10.59240000000000,10.63810000000000,10.7028,615.4729,10.7917,0.1993,10.5924,0.1609,10.6765,10.5187,0.1578,2.6121,615.4729,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,626.5599,NA,10.88770000000000,0.49350000000000,0.11250000000000,0.25050000000000,0.3086,626.2646,0.4078,0.2953,0.1125,0.0457,0.5001,0.2930,0.2071,10.2982,626.2646,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,626.9037,NA,0.34380000000000,3.15140000000000,2.96210000000000,3.10730000000000,3.1162,626.6724,3.1934,0.2313,2.9621,0.1380,3.2006,0.4826,2.7180,-2.7436,626.6724,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,630.0667,NA,3.16300000000000,3.17990000000000,2.96150000000000,3.07010000000000,3.1331,629.8658,3.1624,0.2009,2.9615,0.1452,3.1258,0.4077,2.7181,0.0135,629.8658,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,633.2325,NA,3.16580000000000,3.22890000000000,3.05490000000000,3.14310000000000,3.1962,633.0282,3.2592,0.2043,3.0549,0.1086,3.2388,0.3947,2.8441,-0.0665,633.0282,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,636.4960,NA,3.26350000000000,3.10520000000000,2.89700000000000,3.03200000000000,3.0379,636.2874,3.1056,0.2086,2.8970,0.0882,3.1524,0.4909,2.6615,0.1540,636.2874,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,639.6041,NA,3.10810000000000,3.20060000000000,3.00370000000000,3.06220000000000,3.1304,639.3930,3.2148,0.2111,3.0037,0.1350,3.1383,0.4087,2.7296,-0.0950,639.3930,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,642.9008,NA,3.29670000000000,3.18880000000000,2.83250000000000,3.00860000000000,3.0225,642.6078,3.1255,0.2930,2.8325,0.0585,3.2431,0.4832,2.7599,0.0260,642.6078,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,645.9578,NA,3.05700000000000,3.30120000000000,2.98750000000000,3.09830000000000,3.2667,645.7333,3.2120,0.2245,2.9875,0.1761,3.1467,0.4458,2.7009,-0.1757,645.7333,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,649.1491,NA,3.19130000000000,3.06650000000000,2.97110000000000,3.07720000000000,3.1419,648.9453,3.1749,0.2038,2.9711,0.1108,3.1702,0.4420,2.7282,0.1455,648.9453,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,0,Hardware: Independent Flip,652.3365,NA,3.18740000000000,NA,2.90910000000000,3.06800000000000,NA,652.1202,3.1254,0.2163,2.9091,0.1061,3.1782,0.4549,2.7233,NA,NA,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,0,Hardware: Independent Flip,655.4425,NA,3.10600000000000,NA,2.97360000000000,3.13050000000000,NA,655.2456,3.1705,0.1969,2.9736,0.1603,3.1671,0.4474,2.7197,NA,NA,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,658.6606,NA,3.21810000000000,9.50890000000000,2.95510000000000,3.08160000000000,3.1393,658.4161,3.1996,0.2445,2.9551,0.2050,3.1211,0.4246,2.6965,-0.0381,658.4161,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,661.8357,NA,3.17510000000000,3.10980000000000,2.93730000000000,3.06850000000000,3.0740,661.6157,3.1573,0.2200,2.9373,0.1265,3.1620,0.4296,2.7324,0.0898,661.6157,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,664.9723,NA,3.13660000000000,3.16400000000000,2.97500000000000,3.09450000000000,3.1014,664.7730,3.1743,0.1993,2.9750,0.1312,3.1626,0.4281,2.7345,-0.0067,664.7730,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,668.1398,NA,3.16750000000000,3.19600000000000,2.98060000000000,3.05800000000000,3.1299,667.9473,3.1731,0.1925,2.9806,0.1195,3.1310,0.3844,2.7466,-0.0217,667.9473,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,671.3140,NA,3.17420000000000,3.15690000000000,2.98310000000000,3.05660000000000,3.1126,671.1204,3.1767,0.1936,2.9831,0.0774,3.1728,0.3793,2.7935,0.0162,671.1204,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,674.4894,NA,3.17540000000000,3.18710000000000,2.97760000000000,3.11640000000000,3.1243,674.2971,3.1699,0.1923,2.9776,0.0735,3.2352,0.4946,2.7406,-0.0104,674.2971,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,677.6992,NA,3.20980000000000,3.18230000000000,2.96350000000000,3.08710000000000,3.0968,677.4670,3.1957,0.2322,2.9635,0.1388,3.1805,0.4378,2.7427,-0.0124,677.4670,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,680.8868,NA,3.18760000000000,3.15890000000000,2.94510000000000,3.06050000000000,3.0681,680.6627,3.1692,0.2241,2.9451,0.1236,3.1610,0.4318,2.7292,0.0368,680.6627,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,684.0494,NA,3.16260000000000,3.16100000000000,2.93920000000000,3.01170000000000,3.0665,683.8319,3.1567,0.2175,2.9392,0.1154,3.1138,0.3821,2.7317,0.0082,683.8319,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,687.1907,NA,3.14130000000000,3.21410000000000,2.97590000000000,3.13180000000000,3.1393,686.9886,3.1780,0.2021,2.9759,0.0725,3.2614,0.5133,2.7481,-0.0574,686.9886,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,690.3697,NA,3.17900000000000,3.14460000000000,2.97560000000000,3.09870000000000,3.1049,690.1666,3.1787,0.2031,2.9756,0.1559,3.1459,0.4163,2.7296,0.0334,690.1666,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,693.5822,NA,3.21250000000000,3.16550000000000,2.93190000000000,3.00230000000000,3.0579,693.3453,3.1688,0.2369,2.9319,0.1231,3.1161,0.3778,2.7383,0.0132,693.3453,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,696.7109,NA,3.12870000000000,3.23140000000000,2.99030000000000,3.08050000000000,3.1606,696.5141,3.1871,0.1968,2.9903,0.0704,3.2069,0.4477,2.7592,-0.0626,696.5141,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,699.9209,NA,3.21000000000000,3.12130000000000,2.95610000000000,3.06680000000000,3.0719,699.7012,3.1758,0.2197,2.9561,0.0902,3.1963,0.4265,2.7698,0.0658,699.7012,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,703.0821,NA,3.16120000000000,3.16230000000000,2.95290000000000,3.06640000000000,3.0730,702.8770,3.1580,0.2051,2.9529,0.1107,3.1608,0.4085,2.7523,0.0135,702.8770,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,706.2316,NA,3.14950000000000,3.17500000000000,2.97550000000000,3.09260000000000,3.0985,706.0350,3.1721,0.1966,2.9755,0.1135,3.1757,0.4254,2.7503,-0.0170,706.0350,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,709.4009,NA,3.16930000000000,3.20620000000000,2.98290000000000,3.12910000000000,3.1354,709.2071,3.1767,0.1938,2.9829,0.1171,3.2058,0.4456,2.7602,-0.0341,709.2071,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,712.6197,NA,3.21880000000000,3.14730000000000,2.93500000000000,3.00850000000000,3.0639,712.3838,3.1709,0.2359,2.9350,0.1462,3.0982,0.3961,2.7021,0.0294,712.3838,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,715.7472,NA,3.12750000000000,3.19250000000000,3.00000000000000,3.12220000000000,3.1289,715.5547,3.1925,0.1925,3.0000,0.0735,3.2412,0.4879,2.7533,-0.0216,715.5547,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,718.9581,NA,3.21090000000000,3.16400000000000,2.95970000000000,3.07580000000000,3.0820,718.7472,3.1706,0.2109,2.9597,0.1222,3.1645,0.4327,2.7318,0.0285,718.7472,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,722.1410,NA,3.18290000000000,3.17380000000000,2.94020000000000,3.06620000000000,3.0729,721.9178,3.1634,0.2232,2.9402,0.1161,3.1733,0.4347,2.7386,-0.0032,721.9178,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,725.2765,NA,3.13550000000000,3.17260000000000,2.97350000000000,3.05040000000000,3.1100,725.0812,3.1688,0.1953,2.9735,0.1260,3.1197,0.3856,2.7341,-0.0092,725.0812,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,728.4668,NA,3.19030000000000,3.17150000000000,2.96110000000000,3.03420000000000,3.0912,728.2500,3.1779,0.2168,2.9611,0.0769,3.1741,0.4377,2.7364,-0.0027,728.2500,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,731.6204,NA,3.15360000000000,3.17690000000000,2.97820000000000,3.05470000000000,3.1145,731.4279,3.1707,0.1925,2.9782,0.0731,3.1741,0.4328,2.7413,0.0010,731.4279,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,734.7858,NA,3.16540000000000,3.16700000000000,2.98570000000000,3.10990000000000,3.1161,734.5986,3.1729,0.1872,2.9857,0.0765,3.2206,0.4677,2.7529,0.0037,734.5986,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,737.9602,NA,3.17440000000000,3.19590000000000,2.98950000000000,3.12950000000000,3.1376,737.7715,3.1782,0.1887,2.9895,0.1242,3.1940,0.4508,2.7432,-0.0230,737.7715,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,741.1604,NA,3.20020000000000,3.16000000000000,2.96180000000000,3.09010000000000,3.0974,740.9497,3.1725,0.2107,2.9618,0.1400,3.1608,0.4326,2.7282,0.0182,740.9497,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,744.3097,NA,3.14930000000000,3.17110000000000,2.98290000000000,3.11270000000000,3.1192,744.1222,3.1704,0.1875,2.9829,0.1283,3.1719,0.4305,2.7414,0.0014,744.1222,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,747.5150,NA,3.20530000000000,3.18950000000000,2.97500000000000,3.09670000000000,3.1034,747.2926,3.1974,0.2224,2.9750,0.1298,3.1893,0.4361,2.7532,-0.0191,747.2926,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,750.6963,NA,3.18130000000000,3.16300000000000,2.95880000000000,3.07830000000000,3.0851,750.4900,3.1651,0.2063,2.9588,0.1217,3.1629,0.4296,2.7333,0.0344,750.4900,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,753.8598,NA,3.16350000000000,3.17450000000000,2.96380000000000,3.08920000000000,3.0961,753.6551,3.1685,0.2047,2.9638,0.1195,3.1744,0.4243,2.7501,-0.0094,753.6551,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,757.0170,NA,3.15720000000000,3.16830000000000,2.97780000000000,3.10090000000000,3.1072,756.8236,3.1712,0.1934,2.9778,0.1254,3.1689,0.4185,2.7504,0.0002,756.8236,NA,NA,NA
VsyncStutterTest.exe,28376,0x2D7EF02FE30,DXGI,0,512,1,Hardware Composed: Independent Flip,760.1863,NA,3.16930000000000,3.16730000000000,2.97730000000000,3.09900000000000,3.1052,759.9948,3.1688,0.1915,2.9773,0.1231,3.1674,0.4275,2.7399,0.0039,759.9948,NA,NA,NA
