Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
VsyncStutterTest.exe,34380,0x1F7FA96A650,DXGI,0,512,0,Composed: Flip,657.6607,NA,60.10040000000000,NA,0.37170000000000,0.38410000000000,1.3862,598.0867,59.9457,59.5740,0.3717,56.8201,3.1380,0.7475,2.3905,NA,598.0867,NA,NA,NA
VsyncStutterTest.exe,34380,0x1F7FA96A650,DXGI,0,512,0,Composed: Flip,658.8369,NA,1.17620000000000,5.54450000000000,2.24040000000000,2.32690000000000,5.7545,658.0324,3.0449,0.8045,2.2404,0.6289,2.5025,0.6878,1.8147,54.4012,658.0324,NA,NA,NA
VsyncStutterTest.exe,34380,0x1F7FA96A650,DXGI,1,512,0,Hardware Composed: Independent Flip,661.4343,NA,2.59740000000000,2.77310000000000,2.80540000000000,3.39220000000000,5.9302,661.0773,3.1624,0.3570,2.8054,0.3177,3.4315,3.4306,0.0009,0.2718,661.0773,NA,NA,NA
VsyncStutterTest.exe,34380,0x1F7FA96A650,DXGI,1,512,0,Hardware Composed: Independent Flip,665.1211,NA,3.68680000000000,2.77740000000000,2.27270000000000,2.48900000000000,5.0208,664.2397,3.1541,0.8814,2.2727,0.5868,2.7836,0.2730,2.5106,0.3850,664.2397,NA,NA,NA
VsyncStutterTest.exe,34380,0x1F7FA96A650,DXGI,0,512,1,Hardware Composed: Independent Flip,667.6535,NA,2.53240000000000,11.10870000000000,2.94110000000000,2.96890000000000,13.5971,667.3938,3.2008,0.2597,2.9411,0.2163,3.0123,0.4371,2.5752,-7.9546,667.3938,NA,NA,NA
VsyncStutterTest.exe,34380,0x1F7FA96A650,DXGI,0,512,1,Hardware Composed: Independent Flip,670.8045,NA,3.15100000000000,0.23470000000000,3.03780000000000,10.66740000000000,10.6808,670.5946,3.2477,0.2099,3.0378,0.1697,10.7076,8.3064,2.4012,2.9661,670.5946,NA,NA,NA
VsyncStutterTest.exe,34380,0x1F7FA96A650,DXGI,0,512,1,Hardware Composed: Independent Flip,679.9464,NA,9.14190000000000,0.42460000000000,0.42060000000000,1.65770000000000,1.9635,673.8423,6.5247,6.1041,0.4206,7.6296,0.1322,0.1194,0.0128,2.8231,673.8423,NA,NA,NA
VsyncStutterTest.exe,34380,0x1F7FA96A650,DXGI,0,512,1,Hardware Composed: Independent Flip,681.6492,NA,1.70280000000000,2.58750000000000,1.59840000000000,1.64950000000000,2.8482,680.3670,2.8806,1.2822,1.5984,1.2371,1.6946,0.3319,1.3627,3.9372,680.3670,NA,NA,NA
VsyncStutterTest.exe,34380,0x1F7FA96A650,DXGI,0,512,1,Hardware Composed: Independent Flip,683.4409,NA,1.79170000000000,2.77660000000000,3.00110000000000,3.08870000000000,3.8331,683.2476,3.1944,0.1933,3.0011,0.0511,3.2309,0.3821,2.8488,0.1040,683.2476,NA,NA,NA
VsyncStutterTest.exe,34380,0x1F7FA96A650,DXGI,0,512,1,Hardware Composed: Independent Flip,686.6539,NA,3.21300000000000,2.78130000000000,2.95680000000000,3.00020000000000,3.4014,686.4420,3.1687,0.2119,2.9568,0.0876,3.1245,0.3834,2.7411,0.4131,686.4420,NA,NA,NA
VsyncStutterTest.exe,34380,0x1F7FA96A650,DXGI,0,512,1,Hardware Composed: Independent Flip,689.8677,NA,3.21380000000000,2.91460000000000,2.90890000000000,3.09510000000000,3.1022,689.6107,3.1659,0.2570,2.9089,0.0434,3.3087,0.5492,2.7595,0.2541,689.6107,NA,NA,NA
VsyncStutterTest.exe,34380,0x1F7FA96A650,DXGI,0,512,1,Hardware Composed: Independent Flip,693.0139,NA,3.14620000000000,3.13120000000000,2.96510000000000,3.02980000000000,3.0872,692.7766,3.2024,0.2373,2.9651,0.1862,3.0809,0.3742,2.7067,0.0347,692.7766,NA,NA,NA
VsyncStutterTest.exe,34380,0x1F7FA96A650,DXGI,0,512,1,Hardware Composed: Independent Flip,696.1896,NA,3.17570000000000,3.15350000000000,2.93340000000000,3.05870000000000,3.0650,695.9790,3.1440,0.2106,2.9334,0.0647,3.2046,0.4278,2.7768,0.0489,695.9790,NA,NA,NA
VsyncStutterTest.exe,34380,0x1F7FA96A650,DXGI,0,512,1,Hardware Composed: Independent Flip,699.3192,NA,3.12960000000000,3.22250000000000,3.02450000000000,3.07620000000000,3.1579,699.1230,3.2207,0.1962,3.0245,0.1253,3.1471,0.3932,2.7539,-0.0785,699.1230,NA,NA,NA
VsyncStutterTest.exe,34380,0x1F7FA96A650,DXGI,0,512,1,Hardware Composed: Independent Flip,702.6027,NA,3.28350000000000,3.18870000000000,2.94050000000000,2.98910000000000,3.0631,702.3437,3.1995,0.2590,2.9405,0.0517,3.1964,0.4074,2.7890,0.0320,702.3437,NA,NA,NA
