Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,0,Composed: Flip,620.2128,NA,51.88940000000000,NA,0.31400000000000,0.32680000000000,5.1527,568.8274,51.6994,51.3854,0.3140,49.0497,2.6625,0.7572,1.9053,NA,568.8274,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,0,Composed: Flip,621.2413,NA,1.02850000000000,4.17360000000000,0.60090000000000,4.32950000000000,8.2978,620.5268,1.3154,0.7145,0.6009,0.5087,4.5353,4.5317,0.0036,47.5258,620.5268,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,1,512,0,Hardware Composed: Independent Flip,623.2333,NA,1.99200000000000,4.18760000000000,0.44000000000000,6.54060000000000,10.4934,621.8422,1.8311,1.3911,0.4400,3.7286,4.2031,4.2000,0.0031,-2.8722,621.8422,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,1,512,0,Hardware Composed: Independent Flip,625.9527,NA,2.71940000000000,4.16110000000000,1.86800000000000,8.00430000000000,11.9351,623.6733,4.1474,2.2794,1.8680,6.1006,4.1831,0.2676,3.9155,-2.3300,623.6733,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,629.9485,NA,3.99580000000000,17.02900000000000,2.34940000000000,8.19030000000000,24.9683,627.8207,4.4772,2.1278,2.3494,6.1363,4.1818,0.3033,3.8785,-12.8816,627.8207,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,634.1591,NA,4.21060000000000,0.26600000000000,2.57710000000000,21.01770000000000,21.0237,632.2979,4.4383,1.8612,2.5771,5.8409,17.0380,0.3013,16.7367,4.2112,632.2979,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,638.3530,NA,4.19390000000000,0.43280000000000,2.79730000000000,17.00040000000000,17.2626,636.7362,4.4141,1.6168,2.7973,18.4406,0.1766,0.1522,0.0244,4.0055,636.7362,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,655.3861,NA,17.03310000000000,4.15900000000000,0.11910000000000,0.35350000000000,4.3885,641.1503,14.3549,14.2358,0.1191,14.2031,0.3862,0.3634,0.0228,0.2551,641.1503,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,655.6958,NA,0.30970000000000,4.16850000000000,4.28380000000000,4.34730000000000,8.2473,655.5052,4.4744,0.1906,4.2838,0.2344,4.3035,0.3089,3.9946,10.1864,655.5052,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,660.2555,NA,4.55970000000000,4.16170000000000,4.16060000000000,4.22100000000000,7.8493,659.9796,4.4365,0.2759,4.1606,0.0635,4.4334,0.4798,3.9536,0.3127,659.9796,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,664.6662,NA,4.41070000000000,4.17080000000000,4.20570000000000,4.26760000000000,7.6094,664.4161,4.4558,0.2501,4.2057,0.0604,4.4573,0.4342,4.0231,0.2657,664.4161,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,669.0921,NA,4.42590000000000,4.14800000000000,4.26350000000000,4.35260000000000,7.3315,668.8719,4.4837,0.2202,4.2635,0.0619,4.5109,0.4531,4.0578,0.3078,668.8719,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,673.5654,NA,4.47330000000000,4.19660000000000,4.24540000000000,4.29700000000000,7.0548,673.3556,4.4552,0.2098,4.2454,0.0891,4.4177,0.4091,4.0086,0.2871,673.3556,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,678.1292,NA,4.56380000000000,4.14910000000000,4.13310000000000,4.19230000000000,6.6401,677.8108,4.4515,0.3184,4.1331,0.0516,4.4591,0.5059,3.9532,0.3061,677.8108,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,682.5100,NA,4.38080000000000,4.16510000000000,4.19990000000000,4.25460000000000,6.4244,682.2623,4.4476,0.2477,4.1999,0.0592,4.4431,0.4389,4.0042,0.2864,682.2623,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,686.9299,NA,4.41990000000000,4.17340000000000,4.18470000000000,4.28180000000000,6.1779,686.7099,4.4047,0.2200,4.1847,0.0547,4.4471,0.4371,4.0100,0.2742,686.7099,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,691.3264,NA,4.39650000000000,4.15340000000000,4.23420000000000,4.32150000000000,5.9348,691.1146,4.4460,0.2118,4.2342,0.0971,4.4362,0.4097,4.0265,0.2513,691.1146,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,0,Hardware: Independent Flip,695.8137,NA,4.48730000000000,NA,4.18700000000000,4.27580000000000,NA,695.5606,4.4401,0.2531,4.1870,0.0873,4.4416,0.4082,4.0334,NA,NA,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,0,Hardware: Independent Flip,700.2127,NA,4.39900000000000,NA,4.23900000000000,4.32520000000000,NA,700.0007,4.4510,0.2120,4.2390,0.1662,4.3710,0.4018,3.9692,NA,NA,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,704.6628,NA,4.45010000000000,12.52980000000000,4.24730000000000,4.35480000000000,5.1282,704.4517,4.4584,0.2111,4.2473,0.1664,4.3995,0.4190,3.9805,0.8073,704.4517,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,709.1553,NA,4.49250000000000,4.15870000000000,4.21340000000000,4.29030000000000,4.7944,708.9101,4.4586,0.2452,4.2134,0.1075,4.4280,0.4465,3.9815,0.2997,708.9101,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,713.5767,NA,4.42140000000000,4.18400000000000,4.21780000000000,4.28430000000000,4.5570,713.3687,4.4258,0.2080,4.2178,0.0769,4.4154,0.3835,4.0319,0.2746,713.3687,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,718.0006,NA,4.42390000000000,4.23610000000000,4.23150000000000,4.35960000000000,4.3692,717.7945,4.4376,0.2061,4.2315,0.0665,4.4992,0.4254,4.0738,0.1897,717.7945,NA,NA,NA
VsyncStutterTest.exe,28944,0x1C254404B30,DXGI,0,512,1,Hardware Composed: Independent Flip,722.4331,NA,4.43250000000000,4.52410000000000,4.27260000000000,4.44980000000000,4.4608,722.2321,4.4736,0.2010,4.2726,0.1281,4.5227,0.4895,4.0332,-0.0865,722.2321,NA,NA,NA
