Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
VsyncStutterTest.exe,33052,0x16874CE67F0,DXGI,0,512,0,Composed: Flip,664.3517,NA,51.25410000000000,NA,0.36790000000000,0.37040000000000,3.7546,613.5907,51.1289,50.7610,0.3679,48.5930,2.5384,0.7084,1.8300,NA,613.5907,NA,NA,NA
VsyncStutterTest.exe,33052,0x16874CE67F0,DXGI,0,512,0,Composed: Flip,665.4048,NA,1.05310000000000,4.18620000000000,0.56520000000000,2.81850000000000,6.8877,664.7196,1.2504,0.6852,0.5652,0.6012,2.9025,2.8977,0.0048,46.9427,664.7196,NA,NA,NA
VsyncStutterTest.exe,33052,0x16874CE67F0,DXGI,1,512,0,Hardware Composed: Independent Flip,666.9776,NA,1.57280000000000,4.17030000000000,0.43190000000000,5.54670000000000,9.4852,665.9700,1.4395,1.0076,0.4319,2.2533,4.3010,4.2267,0.0743,-2.9199,665.9700,NA,NA,NA
VsyncStutterTest.exe,33052,0x16874CE67F0,DXGI,1,512,0,Hardware Composed: Independent Flip,668.4403,NA,1.46270000000000,4.17150000000000,0.14110000000000,8.38680000000000,12.1940,667.4095,1.1719,1.0308,0.1411,5.1148,4.3028,0.4009,3.9019,-2.7320,667.4095,NA,NA,NA
VsyncStutterTest.exe,33052,0x16874CE67F0,DXGI,0,512,1,Hardware Composed: Independent Flip,672.9528,NA,4.51250000000000,17.01940000000000,0.10660000000000,7.94090000000000,24.7009,668.5814,4.4780,4.3714,0.1066,8.2457,4.0666,0.3078,3.7588,-15.8475,668.5814,NA,NA,NA
VsyncStutterTest.exe,33052,0x16874CE67F0,DXGI,0,512,1,Hardware Composed: Independent Flip,677.0325,NA,4.07970000000000,0.30370000000000,0.10730000000000,20.91480000000000,20.9249,673.0594,4.0804,3.9731,0.1073,7.8343,17.0536,0.3513,16.7023,4.1743,673.0594,NA,NA,NA
VsyncStutterTest.exe,33052,0x16874CE67F0,DXGI,0,512,1,Hardware Composed: Independent Flip,681.0984,NA,4.06590000000000,0.51580000000000,0.09830000000000,17.01820000000000,17.3748,677.1398,4.0569,3.9586,0.0983,20.8075,0.1693,0.1491,0.0202,3.5646,677.1398,NA,NA,NA
VsyncStutterTest.exe,33052,0x16874CE67F0,DXGI,0,512,1,Hardware Composed: Independent Flip,698.1671,NA,17.06870000000000,4.06830000000000,0.11630000000000,0.45010000000000,4.3744,681.1967,17.0867,16.9704,0.1163,16.9199,0.5006,0.4690,0.0316,-0.0114,681.1967,NA,NA,NA
VsyncStutterTest.exe,33052,0x16874CE67F0,DXGI,0,512,1,Hardware Composed: Independent Flip,698.4997,NA,0.33260000000000,4.16450000000000,0.15470000000000,4.21370000000000,8.2063,698.2834,0.3710,0.2163,0.1547,0.3338,4.0962,0.2305,3.8657,12.9222,698.2834,NA,NA,NA
VsyncStutterTest.exe,33052,0x16874CE67F0,DXGI,0,512,1,Hardware Composed: Independent Flip,698.8496,NA,0.34990000000000,4.17270000000000,0.09370000000000,8.03500000000000,12.0291,698.6544,0.2889,0.1952,0.0937,4.0590,4.1712,0.2320,3.9392,-3.8017,698.6544,NA,NA,NA
VsyncStutterTest.exe,33052,0x16874CE67F0,DXGI,0,512,1,Hardware Composed: Independent Flip,702.8917,NA,4.04210000000000,4.16580000000000,0.09740000000000,8.17400000000000,12.1528,698.9433,4.0458,3.9484,0.0974,7.9413,4.1811,0.2449,3.9362,-3.8769,698.9433,NA,NA,NA
VsyncStutterTest.exe,33052,0x16874CE67F0,DXGI,0,512,1,Hardware Composed: Independent Flip,707.0692,NA,4.17750000000000,4.17100000000000,0.16310000000000,8.16880000000000,12.1463,702.9891,4.2432,4.0801,0.1631,8.0766,4.1723,0.2379,3.9344,-0.1252,702.9891,NA,NA,NA
