Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,0,512,0,Composed: Flip,590.0750,NA,51.11420000000000,NA,0.30720000000000,0.31810000000000,1.7000,539.3707,51.0115,50.7043,0.3072,48.5969,2.4255,0.7781,1.6474,NA,539.3707,NA,219.6998,NA
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,0,512,0,Composed: Flip,591.0867,NA,1.01170000000000,4.17380000000000,0.54810000000000,0.84780000000000,4.8621,590.3822,1.2526,0.7045,0.5481,0.5582,0.9941,0.9931,0.0010,46.8377,590.3822,NA,NA,NA
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,1,512,0,Hardware Composed: Independent Flip,592.2962,NA,1.20950000000000,4.16780000000000,0.20340000000000,3.90070000000000,7.8204,591.6348,0.8648,0.6614,0.2034,0.2997,4.2624,4.0475,0.2149,-2.9152,591.6348,NA,NA,NA
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,1,512,0,Hardware Composed: Independent Flip,593.1386,NA,0.84240000000000,4.16260000000000,0.43640000000000,7.18680000000000,11.1406,592.4996,1.0754,0.6390,0.4364,3.6973,4.1285,0.2206,3.9079,-3.2978,592.4996,NA,NA,NA
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,0,512,1,Hardware Composed: Independent Flip,596.4724,NA,3.33380000000000,29.55090000000000,0.10270000000000,8.06890000000000,37.3577,593.5750,3.0001,2.8974,0.1027,6.7504,4.2159,0.3112,3.9047,-28.4755,593.5750,NA,NA,NA
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,0,512,1,Hardware Composed: Independent Flip,600.5269,NA,4.05450000000000,0.32800000000000,0.10990000000000,33.62130000000001,33.6312,596.5751,4.0617,3.9518,0.1099,7.9662,29.6069,0.3744,29.2325,2.6721,596.5751,NA,NA,NA
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,0,512,1,Hardware Composed: Independent Flip,604.7407,NA,4.21380000000000,0.45880000000000,0.09090000000000,29.57160000000000,29.8762,600.6368,4.1948,4.1039,0.0909,33.5114,0.1641,0.1360,0.0281,3.6029,600.6368,NA,NA,NA
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,0,512,1,Hardware Composed: Independent Flip,634.3649,NA,29.62420000000000,4.10840000000000,0.10580000000000,0.41020000000000,4.3604,604.8316,29.6391,29.5333,0.1058,29.4807,0.4628,0.4123,0.0505,0.0864,604.8316,NA,NA,NA
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,0,512,1,Hardware Composed: Independent Flip,634.6862,NA,0.32130000000000,4.16180000000000,0.12810000000000,4.21630000000000,8.2009,634.4707,0.3436,0.2155,0.1281,0.3044,4.1274,0.2203,3.9071,25.4773,634.4707,NA,NA,NA
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,0,512,1,Hardware Composed: Independent Flip,634.9879,NA,0.30170000000000,4.18450000000000,0.07930000000000,8.12050000000000,12.0837,634.8143,0.2529,0.1736,0.0793,4.0882,4.2059,0.2908,3.9151,-3.8409,634.8143,NA,NA,NA
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,0,512,1,Hardware Composed: Independent Flip,639.1225,NA,4.13460000000000,4.17040000000000,0.09510000000000,8.10840000000000,12.1195,635.0672,4.1504,4.0553,0.0951,8.0412,4.1225,0.2245,3.8980,-3.9175,635.0672,NA,NA,NA
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,0,512,1,Hardware Composed: Independent Flip,643.2783,NA,4.15580000000000,4.16910000000000,0.15090000000000,8.12890000000000,12.1328,639.2176,4.2116,4.0607,0.1509,8.0133,4.1763,0.2402,3.9361,-0.0187,639.2176,NA,NA,NA
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,0,512,1,Hardware Composed: Independent Flip,647.4002,NA,4.12190000000000,4.16330000000000,0.09190000000000,8.19230000000000,12.1742,643.4292,4.0629,3.9710,0.0919,7.9780,4.1853,0.2546,3.9307,0.0483,643.4292,NA,NA,NA
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,0,512,1,Hardware Composed: Independent Flip,651.5683,NA,4.16810000000000,4.17210000000000,0.09570000000000,8.23080000000000,12.1782,647.4921,4.1719,4.0762,0.0957,8.1004,4.2066,0.2910,3.9156,-0.1092,647.4921,NA,NA,NA
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,0,512,1,Hardware Composed: Independent Flip,655.7767,NA,4.20840000000000,4.16700000000000,0.15900000000000,8.13820000000000,12.1368,651.6640,4.2717,4.1127,0.1590,8.1351,4.1158,0.2300,3.8858,0.0049,651.6640,NA,NA,NA
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,0,512,1,Hardware Composed: Independent Flip,660.0047,NA,4.22800000000000,4.18790000000000,0.14110000000000,8.07470000000000,12.0967,655.9357,4.2101,4.0690,0.1411,7.9792,4.1645,0.2266,3.9379,0.0838,655.9357,NA,NA,NA
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,0,512,1,Hardware Composed: Independent Flip,664.0772,NA,4.07250000000000,4.15010000000000,0.09860000000000,8.24090000000000,12.1743,660.1458,4.0300,3.9314,0.0986,7.9336,4.2387,0.2779,3.9608,0.0600,660.1458,NA,NA,NA
VsyncStutterTest.exe,28988,0x1AEDF3F6A30,DXGI,0,512,1,Hardware Composed: Independent Flip,668.2674,NA,4.19020000000000,4.16810000000000,0.09750000000000,8.23120000000000,12.1522,664.1758,4.1891,4.0916,0.0975,8.1423,4.1805,0.3086,3.8719,-0.1381,664.1758,NA,NA,NA
