Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
VsyncStutterTest.exe,38584,0x2136B06C1F0,DXGI,0,512,0,Composed: Flip,667.1423,NA,52.73380000000000,NA,0.29960000000000,0.31230000000000,2.5293,614.9368,52.5051,52.2055,0.2996,49.8803,2.6375,0.7430,1.8945,NA,614.9368,NA,127.4599,NA
VsyncStutterTest.exe,38584,0x2136B06C1F0,DXGI,0,512,0,Composed: Flip,668.1135,NA,0.97120000000000,4.15520000000000,0.59150000000000,1.77620000000000,5.7133,667.4419,1.2631,0.6716,0.5915,0.5174,1.9304,1.9268,0.0036,48.3499,667.4419,NA,NA,NA
VsyncStutterTest.exe,38584,0x2136B06C1F0,DXGI,1,512,0,Hardware Composed: Independent Flip,669.9356,NA,1.82210000000000,4.19440000000000,0.14010000000000,4.12260000000000,8.0856,668.7050,1.3707,1.2306,0.1401,1.1847,4.1685,4.1274,0.0411,-2.9313,668.7050,NA,NA,NA
VsyncStutterTest.exe,38584,0x2136B06C1F0,DXGI,1,512,0,Hardware Composed: Independent Flip,670.3095,NA,0.37390000000000,4.16460000000000,0.65330000000000,7.90250000000000,11.8763,670.0757,0.8871,0.2338,0.6533,3.9825,4.1538,0.2261,3.9277,-2.7939,670.0757,NA,NA,NA
VsyncStutterTest.exe,38584,0x2136B06C1F0,DXGI,1,512,0,Hardware Composed: Independent Flip,674.3359,NA,4.02640000000000,4.16460000000000,0.19590000000000,8.10550000000000,12.0145,670.9628,3.5690,3.3731,0.1959,7.2492,4.2294,0.3256,3.9038,-3.2775,670.9628,NA,NA,NA
VsyncStutterTest.exe,38584,0x2136B06C1F0,DXGI,1,512,0,Hardware Composed: Independent Flip,678.4194,NA,4.08350000000000,4.16370000000000,0.11380000000000,8.07750000000000,12.0947,674.5318,4.0014,3.8876,0.1138,7.9096,4.0555,0.2087,3.8468,-0.5947,674.5318,NA,12.8271,NA
VsyncStutterTest.exe,38584,0x2136B06C1F0,DXGI,1,512,0,Hardware Composed: Independent Flip,682.7430,NA,4.32360000000000,4.16870000000000,0.10880000000000,7.93210000000000,11.9398,678.5332,4.3186,4.2098,0.1088,7.9637,4.1782,0.2386,3.9396,-0.1673,678.5332,NA,13.0287,NA
VsyncStutterTest.exe,38584,0x2136B06C1F0,DXGI,1,512,0,Hardware Composed: Independent Flip,686.7487,NA,4.00570000000000,4.16780000000000,0.10800000000000,8.06990000000000,12.1019,682.8518,4.0049,3.8969,0.1080,7.8233,4.1435,0.2106,3.9329,0.1508,682.8518,NA,12.4502,NA
VsyncStutterTest.exe,38584,0x2136B06C1F0,DXGI,1,512,0,Hardware Composed: Independent Flip,690.9841,NA,4.23540000000000,4.16550000000000,0.09690000000000,8.00680000000000,12.0320,686.8567,4.2243,4.1274,0.0969,7.9619,4.1723,0.2142,3.9581,-0.1606,686.8567,NA,12.3604,NA
VsyncStutterTest.exe,38584,0x2136B06C1F0,DXGI,1,512,0,Hardware Composed: Independent Flip,695.0683,NA,4.08420000000000,4.17020000000000,0.09830000000000,8.09330000000000,12.1180,691.0810,4.0856,3.9873,0.0983,7.9099,4.1707,0.2188,3.9519,0.0541,691.0810,NA,12.5394,NA
VsyncStutterTest.exe,38584,0x2136B06C1F0,DXGI,1,512,0,Hardware Composed: Independent Flip,699.2337,NA,4.16540000000000,4.16420000000000,0.11020000000000,8.15880000000000,12.1168,695.1666,4.1773,4.0671,0.1102,7.9950,4.2309,0.2695,3.9614,-0.0786,695.1666,NA,13.1971,NA
VsyncStutterTest.exe,38584,0x2136B06C1F0,DXGI,1,512,0,Hardware Composed: Independent Flip,703.4589,NA,4.22520000000000,4.15730000000000,0.14550000000000,8.07610000000000,12.0489,699.3439,4.2605,4.1150,0.1455,8.0486,4.1425,0.2537,3.8888,0.0200,699.3439,NA,13.3659,NA
