Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
VsyncStutterTest.exe,21040,0x218E52A8D00,DXGI,0,512,0,Composed: Flip,603.0591,NA,52.88110000000000,NA,0.35620000000000,0.36910000000000,3.5422,550.7167,52.6986,52.3424,0.3562,50.1004,2.6111,0.7642,1.8469,NA,550.7167,NA,12.5064,NA
VsyncStutterTest.exe,21040,0x218E52A8D00,DXGI,0,512,0,Composed: Flip,604.7948,NA,1.73570000000000,4.17840000000000,0.50170000000000,1.92750000000000,5.9849,603.4153,1.8812,1.3795,0.5017,1.2678,2.0392,2.0321,0.0071,48.5202,603.4153,NA,6.8032,NA
VsyncStutterTest.exe,21040,0x218E52A8D00,DXGI,1,512,0,Hardware Composed: Independent Flip,606.4737,NA,1.67890000000000,4.17410000000000,0.55980000000000,4.57050000000000,8.4801,605.2965,1.7370,1.1772,0.5598,1.4258,4.3219,4.2089,0.1130,-2.2929,605.2965,NA,9.7284,NA
VsyncStutterTest.exe,21040,0x218E52A8D00,DXGI,1,512,0,Hardware Composed: Independent Flip,607.4433,NA,0.96960000000000,4.17200000000000,0.22040000000000,7.70780000000000,11.6825,607.0335,0.6302,0.4098,0.2204,4.0107,4.1069,0.2033,3.9036,-2.4350,607.0335,NA,12.1481,NA
VsyncStutterTest.exe,21040,0x218E52A8D00,DXGI,1,512,0,Hardware Composed: Independent Flip,611.5532,NA,4.10990000000000,4.16080000000000,0.19500000000000,7.84070000000000,11.7334,607.6637,4.0845,3.8895,0.1950,7.4874,4.2428,0.3375,3.9053,-3.5306,607.6637,NA,12.6802,NA
VsyncStutterTest.exe,21040,0x218E52A8D00,DXGI,1,512,0,Hardware Composed: Independent Flip,615.4002,NA,3.84700000000000,4.17290000000000,0.12370000000000,8.04790000000000,12.0593,611.7482,3.7757,3.6520,0.1237,7.6457,4.0542,0.2204,3.8338,-0.0884,611.7482,NA,12.7225,NA
VsyncStutterTest.exe,21040,0x218E52A8D00,DXGI,1,512,0,Hardware Composed: Independent Flip,619.8600,NA,4.45980000000000,4.15060000000000,0.10350000000000,7.77180000000000,11.7501,615.5239,4.4396,4.3361,0.1035,7.9242,4.1837,0.2451,3.9386,-0.3749,615.5239,NA,12.1319,NA
VsyncStutterTest.exe,21040,0x218E52A8D00,DXGI,1,512,0,Hardware Composed: Independent Flip,623.9166,NA,4.05660000000000,4.17440000000000,0.11160000000000,7.88590000000000,11.8679,619.9635,4.0647,3.9531,0.1116,7.6683,4.1707,0.2529,3.9178,0.2652,619.9635,NA,12.3110,NA
VsyncStutterTest.exe,21040,0x218E52A8D00,DXGI,1,512,0,Hardware Composed: Independent Flip,627.9179,NA,4.00130000000000,4.16880000000000,0.09420000000000,8.03740000000000,12.0354,624.0282,3.9839,3.8897,0.0942,7.7743,4.1528,0.2227,3.9301,-0.1041,624.0282,NA,12.4704,NA
VsyncStutterTest.exe,21040,0x218E52A8D00,DXGI,1,512,0,Hardware Composed: Independent Flip,632.0480,NA,4.13010000000000,4.17140000000000,0.09730000000000,8.11920000000000,12.0767,628.0121,4.1332,4.0359,0.0973,7.9432,4.2119,0.2687,3.9432,-0.1875,628.0121,NA,12.9049,NA
VsyncStutterTest.exe,21040,0x218E52A8D00,DXGI,1,512,0,Hardware Composed: Independent Flip,636.4195,NA,4.37150000000000,4.16260000000000,0.10030000000000,7.89880000000000,11.8678,632.1453,4.3745,4.2742,0.1003,8.0219,4.1511,0.2085,3.9426,-0.0294,632.1453,NA,12.3100,NA
VsyncStutterTest.exe,21040,0x218E52A8D00,DXGI,1,512,0,Hardware Composed: Independent Flip,640.5374,NA,4.11790000000000,4.17270000000000,0.15820000000000,7.99070000000000,11.9226,636.5198,4.1758,4.0176,0.1582,7.7985,4.2098,0.3079,3.9019,0.2018,636.5198,NA,12.2331,NA
